 0. 0.9
 0.01 0.8982240555854444
 0.02 0.89290323118303
 0.03 0.8840585256558199
 0.04 0.871724845015768
 0.05 0.8559508646656382
 0.06 0.8367988372994263
 0.07 0.8143443472194176
 0.08 0.7886760120394772
 0.09 0.7598951329518135
 0.1 0.7281152949374528
 0.11 0.6934619184982104
 0.12 0.6560717646792704
 0.13 0.6160923953358197
 0.14 0.5736815907738207
 0.15 0.5290067270632258
 0.16 0.4822441154810969
 0.17 0.4335783066915436
 0.18 0.3832013624085654
 0.19 0.33131209741621026
 0.2 0.27811529493745274
 0.21 0.22382089844836928
 0.22 0.16864318312715226
 0.23 0.11279991020787383
 0.24 0.05651146757638197
 0.25 5.5109105961630896E-17
 0.26 -0.05651146757638206
 0.27 -0.11279991020787374
 0.28 -0.16864318312715215
 0.29 -0.22382089844836936
 0.3 -0.27811529493745263
 0.31 -0.33131209741621
 0.32 -0.38320136240856545
 0.33 -0.4335783066915439
 0.34 -0.4822441154810972
 0.35000000000000003 -0.5290067270632257
 0.36 -0.5736815907738207
 0.37 -0.6160923953358198
 0.38 -0.6560717646792702
 0.39 -0.6934619184982103
 0.4 -0.7281152949374526
 0.41000000000000003 -0.7598951329518134
 0.42 -0.7886760120394772
 0.43 -0.8143443472194174
 0.44 -0.8367988372994263
 0.45 -0.8559508646656382
 0.46 -0.871724845015768
 0.47000000000000003 -0.8840585256558199
 0.48 -0.89290323118303
 0.49 -0.8982240555854444
 0.5 -0.9
 0.51 -0.8982240555854444
 0.52 -0.89290323118303
 0.53 -0.8840585256558198
 0.54 -0.8717248450157681
 0.55 -0.8559508646656382
 0.56 -0.8367988372994263
 0.5700000000000001 -0.8143443472194177
 0.58 -0.7886760120394771
 0.59 -0.7598951329518137
 0.6 -0.7281152949374529
 0.61 -0.6934619184982104
 0.62 -0.6560717646792706
 0.63 -0.6160923953358197
 0.64 -0.5736815907738206
 0.65 -0.5290067270632259
 0.66 -0.4822441154810967
 0.67 -0.43357830669154374
 0.68 -0.38320136240856495
 0.6900000000000001 -0.33131209741621004
 0.7000000000000001 -0.2781152949374528
 0.71 -0.223820898448369
 0.72 -0.16864318312715218
 0.73 -0.11279991020787414
 0.74 -0.05651146757638189
 0.75 -1.6532731788489269E-16
 0.76 0.05651146757638155
 0.77 0.1127999102078738
 0.78 0.16864318312715185
 0.79 0.22382089844836944
 0.8 0.2781152949374525
 0.81 0.3313120974162097
 0.8200000000000001 0.38320136240856467
 0.8300000000000001 0.4335783066915441
 0.84 0.4822441154810971
 0.85 0.5290067270632256
 0.86 0.5736815907738204
 0.87 0.6160923953358197
 0.88 0.6560717646792701
 0.89 0.6934619184982105
 0.9 0.7281152949374526
 0.91 0.7598951329518133
 0.92 0.7886760120394772
 0.93 0.8143443472194174
 0.9400000000000001 0.8367988372994263
 0.9500000000000001 0.8559508646656382
 0.96 0.8717248450157681
 0.97 0.8840585256558199
 0.98 0.89290323118303
 0.99 0.8982240555854444
 1. 0.9
